Company Name,PDF Link
Visaka Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=91b8a8e4-c0de-48c0-b92a-700f9fbcede8.pdf
Avadh Sugar & Energy Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4dc6a206-41ab-4966-9dcf-1ba61af9545d.pdf
GMM Pfaudler Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d71cc9e-c630-4989-9b33-cf12137c6abc.pdf
Welspun Corp Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9661cf1d-9938-4dbc-9a87-d9a03accf3fc.pdf
Symphony Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be63ce6e-1854-4bcb-abc4-f25e41f8c6b5.pdf
Bajaj Electricals Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ca5f6b9c-09d8-4aa6-9324-b28c85439fa9.pdf
Dabur India Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e0f12e32-ca1e-4226-acfe-5d1f98c9c6c8.pdf
Page Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fa5b7565-50e5-4648-ab6b-ce9ccbe47259.pdf
Apar Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2568cf02-d934-4150-8d93-6a1ca141fda1.pdf
Steelcast Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=16af2c8c-8bc0-4582-85fe-d98b76501a3b.pdf
Bliss GVS Pharma Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a09f05c5-8c0c-4ab5-9305-8c448e7ded9c.pdf
Greenlam Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dc1e04ab-003e-4616-a042-724fa5d09369.pdf
Navin Fluorine International Ltd-,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=11a4e7cc-2eec-48d8-8203-2a2a4365ad8e.pdf
Laxmi Organic Industries Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dd764024-036d-4a35-95a0-99d5ac1a7cd3.pdf
Cholamandalam Investment and Finance Company Ltd,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=72687367-3a22-4292-b67a-6ab6728b0e3a.pdf
