company_name,industry,status,data_points,output_file,csv_row,error
Aster DM Healthcare Ltd,,success,98.0,esg_outputs\Aster_DM_Healthcare_Ltd_esg.json,1634,
Motherson Sumi Wiring India Ltd,,success,98.0,esg_outputs\Motherson_Sumi_Wiring_India_Ltd_esg.json,1635,
IDFC First Bank Ltd,,success,98.0,esg_outputs\IDFC_First_Bank_Ltd_esg.json,1636,
RELIANCE INDUSTRIES LTD.,,success,98.0,esg_outputs\RELIANCE_INDUSTRIES_LTD__esg.json,1637,
Gokul Agro Resources Ltd,,success,98.0,esg_outputs\Gokul_Agro_Resources_Ltd_esg.json,1638,
JK PAPER LTD.,,success,98.0,esg_outputs\JK_PAPER_LTD__esg.json,1639,
TIMEX GROUP INDIA LTD.-,,success,98.0,esg_outputs\TIMEX_GROUP_INDIA_LTD_-_esg.json,1640,
Shanti Educational Initiatives Ltd,,success,98.0,esg_outputs\Shanti_Educational_Initiatives_Ltd_esg.json,1641,
VST INDUSTRIES LTD.,,success,98.0,esg_outputs\VST_INDUSTRIES_LTD__esg.json,1642,
Gland Pharma Ltd,,success,98.0,esg_outputs\Gland_Pharma_Ltd_esg.json,1643,
EKI Energy Services Ltd,,success,98.0,esg_outputs\EKI_Energy_Services_Ltd_esg.json,1644,
Refex Industries Limited,,success,98.0,esg_outputs\Refex_Industries_Limited_esg.json,1645,
SANGHVI MOVERS LTD.,,success,98.0,esg_outputs\SANGHVI_MOVERS_LTD__esg.json,1646,
RAMKRISHNA FORGINGS LTD.,,success,98.0,esg_outputs\RAMKRISHNA_FORGINGS_LTD__esg.json,1647,
Vedant Fashions Ltd,,success,98.0,esg_outputs\Vedant_Fashions_Ltd_esg.json,1648,
Oil and Natural Gas Corporation Ltd,,success,98.0,esg_outputs\Oil_and_Natural_Gas_Corporation_Ltd_esg.json,1649,
Indus Towers Ltd,,success,98.0,esg_outputs\Indus_Towers_Ltd_esg.json,1650,
Jio Financial Services Ltd,,success,98.0,esg_outputs\Jio_Financial_Services_Ltd_esg.json,1651,
Honda India Power Products Ltd,,success,98.0,esg_outputs\Honda_India_Power_Products_Ltd_esg.json,1652,
JINDAL STEEL & POWER LTD.,,success,98.0,esg_outputs\JINDAL_STEEL___POWER_LTD__esg.json,1653,
